DEGC1PV,DEGC2PV,DEGC3PV,DEGC4PV,DEGC5PV,DEGC6PV,DEGC1SV,DEGC2SV,DEGC3SV,DEGC4SV,DEGC5SV,DEGC6SV,NM3/H.1PV,NM3/H.2PV,NM3/H.3PV,NM3/H.4PV,NM3/H.5PV,NM3/H.6PV,NM3/H.1SV,NM3/H.2SV,NM3/H.3SV,NM3/H.4SV,NM3/H.5SV,NM3/H.6SV,TEMP,FC1,FC2,FC3,FC4,FC5,FC6,mmH2O
1010.6,1081.8,1216.3,1198.3,1160.9,1122.4,1005,1070,1220,1200,1145,1130,1752,2084,3033,5807,1390,4619,1711,2081,2925,5856,1389,4617,552.5,9.3,7.3,17.7,21.3,5.7,40.8,499
1005.6,1015.7,1240.6,1211.5,1166,1187.4,1005,1070,1220,1200,1160,1230,3420,3670,3558,11640,1374,6567,3346,3608,2879,11442,1369,6548,535.5,12.4,15.6,18,31.5,5.6,57.2,501
874.9,882.9,959.9,957.4,1043.6,982.4,1005,1070,1210,1210,1140,1245,2007,2265,3015,2466,1513,4346,2200,2300,2239,2000,1516,4317,506.4,8,8.2,15,10,3.3,31.5,600
837.6,842.9,927.8,923.5,960.8,922,1005,1070,1210,1210,1140,1245,2083,2363,3097,3619,1517,3954,2200,2300,2239,2615,1516,3958,486.5,8,7,15,12,3.2,29.4,600
729.4,714.4,796.4,790.2,831.9,759.2,1050.2,1070,1200,1180,1120,1100,2267,2889,2467,4264,1900,3779,2303,2897,2484,4224,1900,3778,424.8,12.2,10.2,9.6,13.6,8.3,30.2,501
900.9,897.2,1123.9,1097.3,1070,1019.9,1005,1070,1215,1200,1140,1130,2633,2197,2353,4271,1698,4281,2600,2200,2001,4261,1700,4287,519.4,11.4,7,15,14.5,6.9,32.4,600
722.2,699.6,912.3,898.1,912.9,838.3,1005,1070,1210,1210,1140,1245,2407,2654,3564,4003,1735,3951,2200,2300,2239,3486,1516,3958,353.5,8,7.6,15,12,3,26.6,600
1000.7,1053.9,1217.5,1203,1143.3,1165.9,1005,1070,1220,1210,1140,1245,3506,4174,4837,14830,3116,6543,3535,4169,4720,14817,3096,6548,542,13.6,17.2,19.5,34.9,21.9,48.4,597
1049.1,1077.6,1232.5,1200.8,1145.7,1137.6,1005,1070,1220,1210,1140,1245,2467,2865,2831,6994,1750,6060,2498,2968,2883,7066,1735,6118,537.5,9.9,10.6,17.2,22.2,8.2,48,600
883.7,873,1062.9,1026.6,927.3,869.9,1050.2,1070,1200,1180,1120,1100,1949,2882,2736,5297,1826,4632,1406,2897,2732,5264,1768,4634,440.9,10,10.6,11,16,8,36.7,500
1039,1052.3,1221,1194.7,1145.2,1127.4,1005,1070,1215,1205,1150,1245,2506,2966,3230,10429,1923,5087,2495,2943,3203,10459,1916,5067,530.1,9.7,10.5,16.4,28.5,10.2,40.8,603
760.5,747.9,857.3,845,844.1,770.9,1050.2,1070,1200,1180,1120,1100,2307,2912,2480,4368,1850,4219,2303,2897,2484,4300,1774,4206,426.3,11.4,8.9,10.6,13.5,8,33.3,500
1000.7,1005.9,1221.1,1199.7,1152.7,1172.6,1005,1070,1220,1200,1150,1130,3362,4206,4200,14644,2469,6563,3333,4169,4138,14817,2448,6548,498.4,14.3,15.1,19.1,37,14.5,47.3,622
1006.9,1056.7,1220.2,1203.1,1137.7,1161.2,1005,1070,1220,1210,1140,1245,3477,4134,3627,13540,2116,6533,3535,4169,3667,13574,2140,6548,550.1,18,14.9,19.7,35.3,12.4,49.6,596
833.7,808.6,1068.4,1034.1,1025.8,959.4,1005,1070,1215,1200,1140,1130,2564,2263,2517,4364,1701,4301,2600,2200,2001,4261,1700,4287,508,11.7,7,15,13.5,6,31.8,597
1013.1,1060.1,1226.9,1211.9,1179.1,1146.7,1005,1070,1215,1205,1150,1245,2516,2998,2859,8670,2080,4918,2495,2943,2880,8572,2080,4911,559.2,13.2,11.5,16.4,23.4,12.9,40.5,599
1002.6,1020.6,1212.3,1175.2,1163.1,1196.7,1005,1070,1220,1200,1150,1130,3338,4144,5606,14861,2407,7016,3333,4169,5514,14817,2305,7016,503.6,14.9,16.4,22.6,35.9,13.2,50.7,619
1004.1,1014,1225.4,1186.5,1147.9,1138,1005,1070,1215,1200,1140,1130,2700,3467,2584,13175,1515,5518,3066,3761,2180,13630,1637,5934,535.5,14.2,14.5,15,34.6,5.9,44.1,616
1017.4,1067.4,1221.5,1211.6,1140.4,1166,1005,1070,1220,1210,1140,1245,3535,4198,4175,12463,1947,6563,3535,4169,4204,12377,1945,6548,546.6,17.3,18.5,19.6,31.9,10.9,50.9,595
965.8,1016.3,1163.8,1119.2,1066.7,1069.5,1050.2,1070,1200,1180,1120,1100,1868,2608,5391,6129,4519,6466,1406,2207,5129,5853,4426,6346,472,10,7,17.8,16.1,36.4,49.6,501
870.9,856.2,1039,1008.3,914.8,858,1050.2,1070,1200,1180,1120,1100,1960,2835,2666,5249,1831,4624,1406,2897,2732,5264,1769,4634,439,10,8.7,11.2,15.8,8,36.7,500
965.6,1027.6,1204.9,1188.2,1152.8,1183.2,1005,1070,1215,1200,1150,1130,3363,4175,7118,14853,2959,6525,3333,4169,7139,14817,2955,6548,500,13.1,14.1,27.4,36.2,20.1,48.3,619
784.6,726.5,878.4,882.1,658.8,615.6,1005,1070,1215,1200,1140,1130,2582,2283,2692,7688,1599,3312,2600,2200,2001,2450,1600,3298,507.2,10.2,7,15,20.2,4.3,24.3,619
906.6,901.9,1131.7,1106.6,1077.2,1027.4,1005,1070,1215,1200,1140,1130,2600,2226,2363,4184,1705,4301,2600,2200,2001,4261,1700,4287,512.9,10.8,7,15,15.5,6.6,32.4,601
708.5,602.5,892.9,850.9,941.5,804.2,1005,1070,1210,1210,1140,1245,2424,2682,3588,4030,1747,2514,2200,2300,2239,3399,1516,2518,345.2,8,7.6,15,12,3,13,599
1001.7,1057,1220.7,1211.2,1139.4,1163.6,1005,1070,1220,1210,1140,1245,3517,4168,5082,14103,2213,6562,3535,4169,5101,14232,2217,6548,542.5,16.9,18.4,22.1,35.8,12.5,48.4,597
1006.7,1058.5,1228.8,1215.6,1142.4,1170.9,1005,1070,1220,1210,1140,1245,3549,4260,4329,13520,2172,6543,3535,4169,4164,13429,2158,6548,549.4,16.8,16.9,17.9,33.5,12.3,48.6,597
655.1,521.1,848.9,800.8,887.7,734.7,1005,1070,1210,1210,1140,1245,2421,2683,3579,4006,1761,2511,2200,2300,2239,3399,1516,2518,335.1,8,7.6,15,12,3,12.9,598
1012.4,1032.1,1217,1195.5,1164.9,1176.4,1005,1070,1215,1200,1140,1130,3341,4200,2715,14351,1653,5985,3333,4113,2228,14817,1677,6080,524.3,13.9,15.2,15,36.2,5.8,43.9,624
997.2,1071,1209.4,1192.7,1152.4,1110.2,1005,1070,1220,1200,1160,1130,1804,2218,3504,6331,1754,4639,1765,2081,3497,6366,1789,4617,553.9,10.1,7.8,18.7,21,10.2,38.7,501
1051,1065,1247.2,1212.5,1139.8,1158.6,1005,1070,1220,1210,1140,1245,3508,4063,4203,13055,2269,6299,3535,4169,4079,13168,2293,6361,570.6,19.2,19.4,19.8,37.1,16.3,51.9,594
498.4,478.4,581,508.1,552.8,514.7,1005,1070,1210,1210,1140,1245,0,0,0,0,0,0,2200,2300,2239,2562,1298,1400,411.4,8,7.6,15,15,10,6,23
1040.4,1049.3,1244.8,1218.5,1179.7,1150,1005,1070,1215,1200,1150,1130,2026,2615,2551,5895,1469,4461,1922,2504,1986,5787,1188,4485,513.5,7,8.5,15,16.1,3,34,619
926.5,917.6,1006,1001.2,1015.7,971.1,1005,1070,1210,1210,1140,1245,1904,2277,2938,3062,1485,3586,2200,2300,2239,3050,1204,3598,525.1,8,7.7,15,12.5,3,26.9,600
996.9,1063.7,1229.4,1203.2,1163.9,1167,1005,1070,1220,1195,1150,1130,2740,3105,4626,9765,2668,4814,2551,2850,4620,10121,2610,4685,524.5,10.4,11,22.8,30.3,18.6,38.2,507
728.4,713.2,805,796.7,857.1,777.4,1050.2,1070,1200,1180,1120,1100,2332,2901,2485,4178,1903,3780,2303,2897,2484,4224,1900,3778,419.2,10,9.1,9.6,14.6,8.1,30.3,500
746.7,689.1,823.7,830.1,661.5,633.6,1005,1070,1215,1200,1140,1130,2586,2345,2739,7507,1599,3305,2600,2200,2001,2450,1600,3298,491.5,9.4,7,15,20.2,4,24.2,622
1022.5,1038.3,1221.1,1193.2,1163.7,1143.6,1005,1070,1215,1205,1150,1245,2482,2843,3006,9091,1890,5384,2495,2943,2880,9128,1916,5457,567.3,14.3,13.7,16.4,26.3,11.1,44.5,589
1042.7,1069,1228.6,1187.4,1161.4,1098.5,1005,1070,1220,1200,1160,1130,1953,2026,2188,5251,1277,4491,1871,2018,1771,5450,1037,4485,549.7,8,7,15,19,3,37.2,500
726.7,706.1,800.5,794.6,849,772.5,1050.2,1070,1200,1180,1120,1100,2307,2745,2334,4172,1857,3852,1300,2897,2484,2240,1100,3778,413.4,10,7,8,13,8,30.8,495
729.2,714.1,800,792.6,852,773,1050.2,1070,1200,1180,1120,1100,2327,2911,2462,4221,1899,3793,2303,2897,2484,4224,1900,3778,418.3,10,10.1,8.6,14.5,8.2,30.4,500
1006.6,1063,1218.7,1208.6,1139.6,1165.9,1005,1070,1220,1210,1140,1245,3531,4064,4770,13322,2498,6528,3535,4169,4805,13342,2499,6548,518,12.2,16,21.8,33.2,14.9,48.3,598
901.1,897.8,1083.6,1055.7,932.4,880.8,1050.2,1070,1200,1180,1120,1100,1936,2923,2750,5271,1806,4630,1406,2897,2732,5264,1768,4634,444.9,10,10.2,10.8,16,8,36.7,499
1052,1088.3,1243.2,1211.7,1150.3,1140.3,1005,1070,1215,1205,1150,1245,2488,3105,2865,7073,1956,6087,2625,3110,3029,7127,1983,6080,549.3,15.8,13,19.3,21.9,11.7,47.7,599
1036.5,1051.2,1228.6,1204.2,1158.2,1174.4,1005,1070,1215,1200,1150,1130,3256,4194,2662,13706,1635,6619,3329,4169,2161,13518,1674,6725,501,12.4,14.8,15,31.7,5.8,48.2,621
1054.4,1042.3,1198.8,1169.2,1166.4,1098.1,1005,1070,1210,1190,1160,1130,1887,2027,1999,5400,1256,4260,1871,2018,1624,5601,1018,4287,557.7,8,7,15,19.6,3,36.1,498
999.8,1062.3,1219.1,1211.3,1142.1,1166.8,1005,1070,1220,1210,1140,1245,3485,4160,5066,14631,2394,6550,3535,4169,5157,14663,2381,6548,535.5,14.8,17.8,23.5,35.8,14.1,48.6,599
988.9,1069,1222.9,1206.6,1141.3,1177.9,1005,1070,1220,1210,1140,1245,3477,4123,6231,14912,3017,6563,3535,4169,6187,14817,3019,6548,548.3,16.6,14.5,24.7,38,22.2,49.5,598
1102.1,1109.6,1256.6,1241.3,1258.2,1244.4,1005,1070,1250,1240,1260,1245,2284,2204,4082,3342,2899,5044,1829,1756,3035,3299,2897,5037,521.8,8,7,18,12.6,19.4,39.5,603
994.6,1069.9,1225.2,1203.7,1140.8,1175.2,1005,1070,1220,1210,1140,1245,3558,4242,6530,14849,2941,6532,3535,4169,6627,14817,2941,6548,548.8,15.1,17.3,27.7,37.4,20.8,48.9,598
996.4,1005.9,1226.4,1191.8,1148.3,1168.9,1005,1070,1215,1200,1150,1130,3375,4122,4340,12217,2296,6368,3274,4169,4176,12147,2264,6237,512.1,13.1,15.8,18.4,30.4,13,45.6,620
1094.4,1084.9,1226.9,1224,1258.4,1233.7,1005,1070,1250,1190,1260,1245,2254,2189,4993,3326,3283,5433,1762,1989,5000,2641,3054,5037,525.6,8,7,20.4,12,20.9,38.7,596
1010,1084.5,1218.1,1199.8,1157.2,1122.1,1005,1070,1220,1200,1145,1130,1779,2128,3298,5944,1394,4618,1711,2081,3240,5905,1389,4617,541.4,9.7,9.4,18.3,20.3,5.5,40.9,501
1067,1050.7,1240.6,1196.3,1189.8,1143.4,1005,1070,1215,1200,1150,1130,1915,2263,2583,4296,1450,4290,1765,2207,2091,4457,1175,4287,528,7,7,15,16,3,32.6,624
870.9,854.8,1102.1,1077.1,1054.9,1003.7,1005,1070,1215,1200,1140,1130,2605,2274,2581,4234,1703,4295,2600,2200,2001,4261,1700,4287,486.9,9.6,7,15,15,5.8,31.4,602
1014,1036.8,1229.3,1186.9,1191.6,1140.2,1005,1070,1210,1200,1145,1130,1849,2402,2256,6218,1616,4949,2178,2675,1880,6611,1657,5109,533.7,11.1,10.6,15,20,5.9,38.4,618
1014.4,1067.3,1220.8,1209.3,1141.8,1165.5,1005,1070,1220,1210,1140,1245,3496,4160,4475,12875,2145,6537,3535,4169,4483,13064,2135,6548,535.7,15.6,15.5,20.5,32.6,11.4,48.5,595
1100.9,1091.7,1276.3,1249.8,1222.8,1265.8,1005,1070,1255,1230,1250,1245,2902,3506,2583,13736,4238,5991,3030,3573,2598,12441,4269,5777,565.4,15,15.7,15.5,32.1,36.5,45.9,596
1016.2,1012.7,1218.7,1203,1152.1,1171.2,1005,1070,1215,1200,1140,1130,2806,3547,2683,11045,1643,5074,2869,3586,2378,11089,1588,5158,524.1,10.7,12.1,15,26.7,4.6,38,618
725.6,709.5,800.9,794.3,852,774.7,1050.2,1070,1200,1180,1120,1100,2317,2908,2484,4240,1902,3782,2303,2897,2484,4224,1900,3778,419.9,10,7.7,8.8,14.8,8.3,30.3,498
890.5,907.1,994.3,986.9,1016,973.4,1005,1070,1210,1210,1140,1245,1912,2268,2946,3045,1488,3613,2200,2300,2239,3050,1208,3598,524.2,8,7.5,15,13.1,3,26.7,601
1038.6,1047.2,1238.6,1211.5,1161.2,1176.9,1005,1070,1220,1200,1160,1230,3459,3791,3498,8260,1359,6379,3397,3694,2812,7837,1337,6269,556.8,13.1,16.1,18,20.9,4.5,52.5,497
1028.8,1030.8,1230.4,1185.8,1198,1146,1005,1070,1215,1200,1150,1130,1946,2302,2702,5191,1451,4250,1905,2260,2316,5498,1251,4481,520.6,7,7,15,18.5,3,34.2,621
906.1,927.6,1016.3,1008.6,1090.3,1026.5,1005,1070,1210,1210,1140,1245,1938,2339,2946,2863,1515,4698,2200,2300,2239,3050,1516,4677,520.9,8,9.3,15,13.2,3.7,34,600
733,674.6,813.8,806.9,778.6,720.9,1005,1070,1215,1200,1140,1130,2589,2346,2653,0,1600,3313,2600,2200,2001,2272,1600,3298,465.9,11.7,7,15,10,3.9,24,600
1018.7,1065.9,1216,1206.6,1135.8,1162.7,1005,1070,1220,1210,1140,1245,3577,4204,4192,12044,1935,6383,3334,3959,4025,11694,1897,6141,538.3,15,17,17.9,30.2,10.1,47.9,604
1087,1076,1253.9,1225.7,1203.7,1242.5,1005,1070,1265,1240,1220,1230,3554,3836,4011,14875,3282,7941,3030,3210,3716,14817,3343,7951,546.8,11.4,12.2,18,35.6,25.5,59.8,601
992.9,1038.7,1192.9,1147,1085.1,1114.9,1050.2,1070,1210,1200,1100,1100,1863,2572,5339,6003,4901,7006,1406,2287,5311,5959,4822,6869,482.8,10,7,19.2,17.9,40.8,53.4,501
992.4,1038.4,1204,1197.6,1166.7,1149.6,1005,1070,1215,1205,1150,1245,2484,2845,3489,9281,1626,5029,2495,2943,3643,9290,1817,5067,570.1,14.7,13.6,20.3,26.6,9.7,42.3,597
1023.4,1049.3,1222.8,1203.7,1164.3,1183.6,1005,1070,1215,1200,1150,1130,3317,4178,4349,14570,1665,6345,3333,4169,4359,14691,1676,6361,503.1,12.7,15.1,21.1,35.8,5.8,46,624
1043.1,996.7,1241.9,1172.6,1170.9,1152,1005,1070,1215,1205,1150,1245,2533,3005,2908,7535,1918,5472,2495,2943,2880,7554,1916,5457,551.4,11.6,11.3,15.9,21.3,10.9,44,599
1005,1040.6,1218.7,1208.3,1135,1161.8,1005,1070,1220,1210,1140,1245,3536,4142,4527,13877,2495,6530,3535,4169,4542,13846,2553,6548,544.8,16.8,17.8,21.6,32.9,16.3,48.1,596
1008.7,1000.4,1225.5,1176.4,1147.4,1165.3,1005,1070,1210,1200,1145,1130,2984,3643,1848,13373,1965,6063,2912,3742,1862,12943,1932,5959,550.2,13.9,14.7,16,30.3,9.8,44.5,618
988.5,1056.1,1211.1,1186.5,1136.9,1131.7,1005,1070,1220,1195,1150,1130,2804,3097,5144,10902,3316,6251,2921,3260,5396,11169,3496,6361,528.4,16.5,14.4,27,32.5,31.9,53.7,501
1014.7,1054.2,1228.6,1176.8,1105.8,1133.3,1050.2,1070,1210,1200,1100,1100,1841,3094,6544,8557,5225,7629,1406,3057,6159,8136,5005,7387,493.9,10,11.8,20.2,21.4,43.4,57.4,498
969.8,1049.3,1215.4,1196.9,1170.7,1157.5,1005,1070,1220,1200,1140,1130,1872,2546,3417,8434,2402,4692,2216,2512,3380,8505,2299,4852,545.7,12.2,10.2,19.3,26.8,17.6,42.8,500
1026.5,1062.9,1208.4,1207.2,1155.4,1159.4,1005,1070,1220,1200,1160,1245,2312,3200,3182,11533,1973,6082,2686,3359,3398,11534,1971,6080,582.2,15.6,14.6,20.5,31.7,12.2,49.4,602
1080.6,1090.8,1258,1209.1,1166.6,1134.8,1005,1070,1215,1205,1150,1245,2163,2411,2856,4550,1916,5076,2073,2382,2392,4798,1916,5067,550.9,8,10.8,15,17.7,9.2,39.1,598
995.1,1053.2,1219.1,1209.7,1150.4,1167.4,1005,1070,1220,1210,1140,1245,3512,4147,5195,14892,1748,6551,3535,4169,5259,14812,1684,6548,544.9,14.9,17.1,23.9,36.2,6.8,48.5,599
1004.5,1049.7,1203.9,1154.5,1093.2,1123.3,1050.2,1070,1210,1200,1100,1100,1867,2576,4983,5982,4721,6695,1406,2207,5129,5849,4715,6716,485.7,10,7,19.9,16.2,40,52.7,500
964.2,1008.2,1187.4,1189.2,1152.5,1168.6,1005,1070,1215,1200,1150,1130,3351,4197,6068,14827,1787,6077,3333,4169,6146,14817,1768,6080,509.7,14.5,15.6,25,35.9,7.3,45.1,616
912.9,945.5,1138.6,1113.1,1091.1,1113.9,1005,1070,1215,1200,1140,1130,12199,14996,12823,15149,6436,9202,12114,14855,12820,15383,6410,9188,425.9,29.2,40.3,32.2,27.7,35.2,47,1140
945,969.6,1151.8,1121.6,981.4,964.1,1050.2,1070,1200,1180,1120,1100,1914,2894,3180,5935,2498,5495,1406,2897,3245,5892,2676,5490,455.5,10,9.6,12.9,16.5,17.9,43,500
720.4,703.6,803.7,792.3,858.4,779.4,1050.2,1070,1200,1180,1120,1100,1912,3006,2093,5382,1440,3745,1881,3009,2000,5366,1424,3778,413.8,10,12.5,8,18.3,8,38.1,301
1046.1,1012.7,1230.9,1177,1156.6,1095.2,1005,1070,1210,1200,1160,1130,1619,2029,1960,6033,1220,4634,1604,1782,1581,6101,1159,4624,539.3,8,7,15,20.6,3,40.2,500
1033.7,1010.4,1253.2,1178.6,1164.1,1102.6,1005,1070,1220,1200,1160,1130,1929,2048,2176,4498,1299,4614,1566,1662,1761,4358,1243,4617,540.5,8,7,15,15.4,3,37.6,501
729.7,715,796.6,793.3,847.9,770.7,1050.2,1070,1200,1180,1120,1100,2299,2876,2478,4231,1903,3777,2303,2897,2484,4224,1900,3778,422.8,10.5,9.7,8.5,14.8,8.2,30,500
1021.6,1030.2,1221.2,1206.6,1151.4,1124.4,1005,1070,1215,1205,1150,1245,2547,2916,2894,8207,1918,5341,2454,2943,2832,8158,1916,5301,549.6,10.4,10.3,17.2,23.7,10.7,43.2,601
1007,1057.5,1228.5,1206.6,1130.9,1157.1,1005,1070,1215,1200,1150,1130,3357,4184,5776,13330,2300,6099,3333,4169,5687,13401,2299,6080,522.5,14.2,14.2,22.8,33.9,13.4,44.8,621
1009.2,992.9,1225.5,1193.1,1158.2,1136.8,1005,1070,1215,1205,1150,1245,2461,2904,2942,10449,1915,5084,2495,2943,2880,10459,1916,5067,548.8,13,12.5,15.5,26,9.4,39.5,600
1013,995.2,1234.4,1189.7,1164,1144.3,1005,1070,1215,1205,1150,1245,2455,2835,2828,10505,1907,5006,2495,2943,2880,10459,1916,5067,567.4,14.9,13.7,17.1,28.4,11.1,42.1,592
1009.9,1062.2,1217.7,1207.9,1138.4,1165,1005,1070,1220,1210,1140,1245,3529,4201,4271,12987,2070,6537,3535,4169,4305,13071,2082,6548,531.7,16,18.1,19.4,34.4,12.1,50.1,596
768.3,772,880.8,867.4,879.7,805.4,1050.2,1070,1200,1180,1120,1100,2299,2885,2488,3732,1848,4220,2303,2897,2484,3486,1774,4206,431.2,11.1,8.5,9,13,8,33.6,499
956.1,1048.3,1221.9,1199.9,1132.1,1137.5,1005,1070,1220,1200,1145,1130,2686,3236,4942,9988,2636,5539,2322,2804,4715,9888,2556,5212,563,12.1,12.6,22.9,29.8,21.2,46,503
1043.2,1037.8,1236.8,1199.6,1194.9,1157.9,1005,1070,1215,1200,1150,1130,1975,2311,2719,4044,1462,4477,1765,2207,2198,4065,1187,4485,514.2,7,7,15,13.9,3,34.3,619
810.6,778.7,1031.6,995,988.3,913.8,1005,1070,1215,1200,1140,1130,2620,2283,2557,4335,1699,4301,2600,2200,2001,4261,1700,4287,501,9.9,7,15,13.4,5.9,31.7,600
989.8,1055.2,1219.5,1192.6,1136.1,1162.5,1005,1070,1220,1195,1150,1130,3255,3646,6871,13799,4271,6516,3535,3930,6933,13993,4269,6548,520.4,18,17.2,30.1,38.4,38.5,53.6,499
1018,1043.3,1230.9,1200.7,1148.9,1098,1005,1070,1210,1200,1140,1130,1821,2098,2436,5879,1375,4293,1604,1766,1985,5842,1111,4287,470.7,8,7,15,17.1,3,33.6,500
948.5,1039.9,1190.3,1190.8,1134.2,1151.7,1005,1070,1215,1205,1150,1245,2529,2967,4978,10434,2197,5627,2495,2943,5039,10459,2189,5612,525.9,9.4,9.7,23.2,27.2,12.9,44.1,604
953.5,1044.8,1208.2,1200.5,1144.2,1151.6,1005,1070,1215,1205,1150,1245,2500,2986,4517,10473,1917,5465,2495,2943,4610,10459,1916,5457,566.1,14.2,13.5,22.4,28.9,11.2,44.8,599
1017.1,1025,1208.7,1144.9,1121.5,1142.5,1050.2,1070,1210,1200,1120,1100,3152,3470,7933,8931,5085,7677,3161,3433,7979,8903,5071,7675,514.3,13.9,12.3,29.6,24.3,45.7,60.9,500
985.4,1031.8,1183.5,1139.6,1080.5,1104.7,1050.2,1070,1200,1180,1100,1100,1858,2603,5833,6804,5103,7238,1406,2507,5846,6679,5139,7319,480,10,7,20.9,18.8,44.6,56.4,500
743.7,693.7,844.8,846.8,845,776.3,1005,1070,1215,1200,1140,1130,2610,2308,2604,4097,1599,3959,2600,2200,2001,4067,1600,3958,477.5,10.1,7,15,13.2,4.2,28.7,600
1128,1125.6,1272.2,1243,1260.5,1239.6,1005,1070,1250,1240,1260,1245,2245,2116,3931,3399,2800,5031,1813,1710,3035,3271,2789,5037,527.6,8,7,18,12,19.4,40.5,600
1014,1055,1230.3,1177.1,1105.6,1132.7,1050.2,1070,1210,1200,1110,1100,1856,3129,5276,7882,4916,7290,1406,2820,5169,7818,4793,7080,494.7,10,10,18,22.9,40.7,55,497
1011.2,1044.4,1273.5,1213,1157.3,1159.3,1005,1070,1210,1200,1145,1130,3161,3948,2285,12669,1965,6048,3280,4133,2086,12318,1969,6073,518.9,14.9,16,15,28.7,9.3,43.9,618
1022.4,1052.1,1230.8,1206.4,1159.2,1176.2,1005,1070,1215,1200,1150,1130,3296,4135,3831,14127,1651,6322,3313,4169,3562,13950,1666,6319,505,13,14.9,16.9,33.1,6.1,45.8,617
1056,1052.6,1240.1,1194.6,1187.2,1135.6,1005,1070,1215,1200,1150,1130,1910,2248,2556,5001,1441,4294,1765,2207,2071,4933,1174,4287,531.7,7,7,15,15.1,3,32.7,619
1106.4,1105,1263.3,1229.7,1239.6,1279.4,1005,1070,1250,1230,1255,1245,2896,2960,4646,14784,4265,6041,3030,3035,4574,14813,4269,6080,560.9,13.6,11.8,20.1,38.8,36.7,48.9,592
1035.9,1056.2,1259.8,1215.4,1157.3,1187,1005,1070,1220,1205,1150,1245,3025,3899,4058,11636,2613,6493,2940,3722,3958,11310,2542,6335,515.9,15.1,14.2,18.9,26.9,15.6,47.3,600
728,713.8,791.8,786.8,842.3,766.7,1050.2,1070,1200,1180,1120,1100,2299,2903,2479,4201,1899,3775,2303,2897,2484,4224,1900,3778,422.4,12,9.1,9,13.8,8.4,30.1,499
1079.9,1066.1,1255.4,1227.8,1179.9,1156.5,1005,1070,1250,1230,1250,1245,2339,2164,2523,4588,1517,5060,1909,1945,2063,4813,1555,5167,522.1,8,7,15,16.2,4.5,39.2,599
1011.2,1044.4,1273.5,1213,1157.3,1159.3,1005,1070,1210,1200,1145,1130,3161,3948,2285,12669,1965,6048,3280,4133,2086,12318,1969,6073,518.9,14.9,16,15,28.7,9.3,43.9,618
858.6,916.5,1106,1102.6,1021.3,1049.4,1005,1070,1215,1200,1140,1130,8988,10984,9489,11530,4753,6806,8947,10971,9467,11361,4734,6786,481.1,28.1,40,34.2,26.8,37.9,49.6,610
946,1043.1,1216.3,1193.6,1149.5,1150.5,1005,1070,1220,1200,1145,1130,2525,3117,5789,11645,2879,5962,2868,3417,6242,12416,3080,6416,553.5,17,16.1,31.9,39,28.2,55.9,497
